beneficiary_id;project_id;amount_received;value_of_goods_received
0fd8ee79-b641-4b95-81b1-ca5243b61d19;bluetooth SCSI Metal;69612;66396
ea358bb4-5213-42fe-9d5b-f22324eb126b;grow;34474;41728
b82ea797-9fa1-4b7e-838a-2efcec2b4983;alarm Place;73051;3206
74d1f50b-b37e-4d82-9c9c-3ab5c5f84ef5;transmitting tertiary;92380;20406
8ecff190-90a4-4eb5-b310-132ffb6ac0bb;Dinar;91977;86373
709f108c-3f4b-45b7-bf06-edae8edaf3d2;Fully-configurable Handcrafted;28088;85789
e58cfcf7-0bc9-49f7-9cb8-7801044acefe;Tuna;96443;78556
ed2cec56-9558-47fa-b00e-c73a3463411d;Ohio invoice Fort;62206;23984
f0f8d090-c84a-45f9-acfc-def6b99b601b;Optional Unbranded Frozen;64365;7540
c1d27f70-ba0d-45fb-9565-22682aae81ef;copying;22872;71425
