country_id;name;latitude;longitude;level
d67d0ef1-e757-46c4-8bbb-604008619f44;Response Tasty;Account Soft;Plastic even-keeled;14281
42a02e2d-c05d-4260-85fe-ba01409a10da;Exclusive parsing Soap;transmitter Movies;Fantastic scalable;66135
ed458e28-c32a-4ceb-bd55-106a18978815;Way Computers;backing Iceland;Sleek Jersey Solomon;78191
8b0611fe-d6cd-4dca-ac7f-5c16a3a5f574;deposit compelling Steel;Keyboard;bandwidth-monitored;83204
f816b676-f7e9-45ed-87d3-cd79a5e32c30;Palladium interactive;Usability Customer Loan;array;17220
30016605-178b-4c19-a644-4d99ba1e1747;copying disintermediate Pants;Integrated Maine;HDD Soft;57982
877864f8-ef22-43b5-bc73-ff3d1c154c96;Optimization;hard Optimization;24/365 invoice;88382
abb755cf-6fe4-4916-8c2b-942a6787d740;Representative maximize;EXE Steel;Practical Personal Buckinghamshire;29108
36aa7632-5687-47ff-bd64-add382009af3;function Automated;impactful Rhode;monitor cross-media Robust;33395
ed2ea252-d877-4057-ae14-7ee3be8bf9fe;Plastic;redundant synergistic;Administrator Tactics;40643
