crop_id;disaster_id;casualty_id;crop_type_id;hecterage_affected;estimated_loss
5fcd78d3-a82f-46d8-b4c2-fea2e6d6e927;Profound connect;help-desk Strategist;River SCSI Incredible;34553;38014
5acb1ea9-ae29-4518-8d05-cda135d994cc;withdrawal;strategize;incremental;52055;24688
3a51f256-64a5-4fae-9d7c-8f725924e354;navigating;silver mobile;viral;52811;5237
2dd8881f-10cb-46e1-8cb0-a3cd7f1f526b;ROI;overriding;Industrial;40861;57979
52285ff8-8fd8-47ec-b84b-a244a940c1dd;Toys;View;card;32185;20343
c1f897bc-3821-4bfa-bda4-5a22b7b1d0a0;synthesize;mobile International syndicate;Agent;87812;23068
54b28a42-95a5-4ec6-a96c-ea6c05f108d9;deposit;circuit;firewall clicks-and-mortar;18769;69948
c27d5bae-28d9-4d60-8a10-af5cd1c7a36b;Pound;Investor;middleware;15311;30540
7138523d-c412-44c9-91e4-232a8ec51c6a;Account;SCSI Awesome;Metal;47625;62835
201a075d-0a3d-4678-8acd-ce47bbfc35a5;lavender Computer;Health parsing;Mouse invoice Mews;99428;59547
