crop_type_id;name
af5f9974-5f76-427e-8598-132e11377aa9;e-business Soft digital
040199f1-8574-486f-af99-c54a948fe62e;plum Accounts generate
673f4919-ba35-4814-b718-b8075e7d4b56;input
861f5b2b-a273-4d28-b062-1b65b88b3bcd;connecting Metal
dbc8a642-c61b-45fc-86c4-9bd05e0ca047;maroon Bedfordshire
99a7bfb4-50ac-4d6a-82c1-cfa14317910b;EXE Cotton
334b75c2-922d-49b2-a617-fb8a497d0e69;embrace mobile
c02b82b3-6024-4322-b0db-a7b73810b8ac;Nebraska
0e7fdd7d-013e-4993-850d-10f04a5b7a86;Adaptive
0e600aa1-7965-4aad-b66e-d90f22728456;hard synthesize superstructure
