disaster_category_id;name
f8988bc1-0148-41ca-9c51-3ae90a81dd90;Borders sensor
42b3cf1e-93a4-44d0-94d8-f60bdba0e828;Marketing
5e337fa8-2782-4a4d-b098-52a21107c78d;District Grocery online
345643cc-4316-41f0-8b49-65a5b7d71256;protocol EXE Africa
3b484ee9-9dcf-4a82-9dfc-6ecac06b6a3a;Dirham Tasty Front-line
9402de5d-ed82-45ac-8df7-5fb316999ef9;networks
ad547bab-f12c-4e39-a890-2ec3dfc6d889;port Function-based open-source
3558cf67-7c81-4bd4-8542-62a6fc21357a;Checking
62159713-419f-4456-ab34-30d27fb00770;Versatile convergence
2749c20d-0bb3-49ad-aa75-d804fef05039;COM Credit
