disaster_type_id;disaster_category_id;name
9d042e41-16b0-402b-ae19-85c8540ed8cc;Rustic Mississippi;Ville JSON
0c7f132d-488a-43b5-920f-7cb0387f931b;Architect;Japan Networked Right-sized
dc1b7002-8640-429e-bfaf-4dd469cdcd4a;enhance SSL National;Plastic
f5f50aa8-9bbe-47be-8812-7e3d148fcef6;Gorgeous;innovative
7f607eec-1946-4c73-bcf1-50dad3a8386c;Kuna bandwidth red;application Manager
90c1134f-743b-49f1-8286-057fac99f53b;Rial optimize Liaison;Account Martin
6f2c0505-7765-4b9c-87b5-91732888d2e4;exuding Manager;input
e580822f-35b6-480e-ad33-088a4d1de6b7;Soap frictionless Internal;cyan
bb8f3a14-5bcf-4aee-b343-04c76e6ec7dc;deposit;deposit
c494e021-ea15-412a-8bd2-dc7746b866d3;moderator Salad protocol;Island
