district_id;province_id;name;latitude;longitude;level
bf177de3-95e4-44d6-881e-943b3defbbf9;open-source Cotton frictionless;USB;cyan Response;Expanded Computer Indiana;71881
f93682cb-810f-4e97-896b-f02ebc5a7527;Granite;Advanced;scale Norwegian;Steel;53990
80dfd23e-9a6b-4014-8e74-6baf7cedf874;bleeding-edge solid;SAS methodologies;bandwidth ability India;Gorgeous;7503
11057226-d13c-4e29-9fba-7b62253b6a71;Clothing;Facilitator;Avon Industrial;olive solution;18533
68308c70-ece2-4bf5-8875-2e034709a3d8;Ramp Accounts Executive;Stand-alone Customer;Washington calculating;channels demand-driven;89228
f91f841a-f7cd-47d7-96bb-6e63c35697d7;Plastic invoice;SMS;synthesize;Response Barthelemy;65922
15633bca-137b-4fa7-a0b5-1797138ecf7a;Creative De-engineered;3rd Response open-source;connecting United Canyon;Regional Handcrafted Gloves;25143
f337bc95-ea02-4209-a93c-7f082cd0a085;SDD;invoice Analyst;Steel;Accounts;44010
a25a8291-2fba-43f1-a5b1-b7b912425371;cyan e-tailers;envisioneer;Hampshire architect;Small;40444
2556dd4d-027e-4e30-8829-0403d458baea;Liaison wireless intranet;encompassing;cross-platform West;Cambridgeshire;68088
