donor_id;disaster_id;name;type;value_of_donation
018103b4-87c7-4cae-b719-d9d07b4b1b40;Loan Shilling;groupware copy;Borders database AI;89471
b1cfee82-b07f-459d-a2dd-df239ebde3cd;Granite;Gorgeous Chicken;brand Tasty Rubber;81598
9b978155-51c7-4853-92b6-d2ab0e6ebce3;copying;Senegal Direct orchestrate;parsing;45699
1f74b196-169d-481d-a7d4-8bd2461ff648;payment process;Refined;circuit Sum ubiquitous;15409
95a8cfd7-1d8e-4ae6-a1c9-66b82a627b4f;Chicken;Beauty Fort;grey;42077
53f0ccfc-ee66-4ce0-9902-fbb9612b784e;pixel;Factors Small Mews;Infrastructure;77691
2ee849da-fd89-4935-b7ff-53ceede97ab6;transmit Future;Wooden;end-to-end cross-platform;52323
6454192c-4d39-4091-88f0-9aabbe61eabd;Checking Fresh;digital Myanmar Manors;ivory;18446
c326334a-1120-4757-8897-b5c8cfd1c531;Berkshire Rustic Expanded;Persevering haptic;actuating Car;19498
9e2bc284-0b1c-4aaa-a941-2f5b4832f3f4;Fish IB;Buckinghamshire JBOD Monitored;Orchestrator invoice;87278
