infractructure_id;disaster_id;casualty_id;infractructure_type_id;damaged;destroyed;value
28321e10-3cb2-4159-ba02-d68f8d53893a;purple Sleek radical;Canadian fresh-thinking;AGP hybrid;7339;83711;78505
e0bc75ac-86cc-46b0-af60-dc5b31857ada;Vision-oriented Total Investor;Program Palladium copying;Architect;2624;47897;99782
bca94f89-e8ef-4067-94a9-6726cca89421;customized Home;white Fantastic;TCP definition;8826;31548;39430
5357e478-853c-4329-b916-bc047a57ffdb;Steel Savings;Refined Virgin Soft;Configuration;34421;3423;92617
396fb33a-64fe-463d-81b0-8b828125a814;Berkshire Lead Licensed;Dynamic Granite;Minnesota copy Bedfordshire;85087;89651;42255
a2514789-6e7e-4f3b-8cc3-6cb8f7a7d1f8;brand Seamless;back-end asymmetric system;transmitting;55396;35044;85268
5ecb95e2-6598-4f6f-af2e-f139f9e9f3cb;Executive solid Mali;Borders capacitor Fresh;orchestrate Jewelery connect;79964;11401;71841
ce230c44-fad9-49ba-823c-530df8e56282;Tuna human-resource array;Practical bypass FTP;Specialist;4604;69396;17108
30583b4f-937a-4e10-9eed-5ab70f2eac04;approach multi-byte;Soft Avon;Manager;75730;68782;21520
d9d142c8-94ef-4d0d-8156-6507cef519ae;auxiliary Gambia;Unbranded;focus Functionality;8578;23751;52708
