infractructure_type_id;name
e9a9258b-d1b3-4a32-9ff3-47f891f46d23;Bangladesh
959167d6-5bb4-43ef-ae7e-41e0e44cd164;workforce
5be192a2-9eb3-421c-bd89-1b4c3f9febe0;Cross-group Lead
bda0b0ff-4332-41d5-ab55-eddf54554a20;matrix bandwidth program
a68174d1-d011-4192-8947-837c148ebe28;Principal Checking
edfef5bd-de31-4722-8d16-0bfdca153efd;user Frozen Concrete
a157ed51-5ff3-4bdf-950d-61372928227b;input intelligence Loan
5e9a9a98-bdee-49b8-96d6-e350dacd4512;azure
fa5d504a-7bbf-4f20-9904-643fc33382fb;Alaska Kuwaiti connecting
1a95bcb6-79b6-4ed0-924d-df1766ef1e1f;Engineer Interactions supply-chains
