live_stock_id;disaster_id;casualty_id;live_stock_type_id;live_stock_affected;estimated_loss
0f25fee1-4938-4469-a18d-b1108a4607fa;Soft niches;Dynamic;Alabama;3542;97891
65f121f6-75ba-4693-bad7-ba7f627ee2b0;Carolina;index conglomeration New;matrix haptic generate;62619;3167
6f4ef26d-147f-460a-9924-3a054568e8d6;generate Books Licensed;Kentucky Unbranded;interactive;93867;54240
1a8c2d97-f3e9-4f28-94f9-08d3bb46dcff;Incredible Synergistic;Multi-channelled Garden Trace;deposit models;29043;39997
f7befb6b-bc32-4c08-967f-9256a1ca9517;Ball;Jewelery;bypassing;33153;3417
4461c061-f04c-42a2-8b40-cf539770a969;Morocco Oval;Gorgeous Cheese;Auto Administrator Leu;7493;8298
d2105251-4902-44f6-84aa-68136f85e724;digital Customizable bleeding-edge;bluetooth;Borders;93828;35164
1436607f-2a89-4266-a0e7-02f4a3885727;Kuwaiti leverage Tasty;Berkshire Manager;Dollar Guam;14819;45303
7c7a5c7f-280b-44bc-a11d-3e5c02fd3ac6;plum Connecticut;Concrete Focused;RAM Practical;97932;9098
a453dbce-faef-4c1b-ad7a-050134727d92;Home Total haptic;Cambridgeshire Soft infomediaries;Kyat disintermediate Refined;12879;51703
