live_stock_type_id;name
d1746010-3d81-4e52-9c23-b7540215344a;Books Realigned Unbranded
cc058bc3-b2e6-4df1-8005-ad7b851b2410;bluetooth transmitting Handcrafted
cc20504d-484d-4b2e-9e77-9a67449e9554;Fresh
b906ac89-b3bc-486e-ad83-b4e3fc94cc5e;bricks-and-clicks
a4767156-1986-453d-93e8-f30622c303d9;Avon Brook
c53b379e-e37e-4330-a36f-1b3623205394;Tasty Berkshire
51fe8109-5795-41fd-8031-22480f9b3257;Corporate Shoes synthesizing
94c5708b-705b-4c90-b69f-efc6317a6bbb;Account strategize orange
8ed72a9f-928c-46bf-8418-45e7affe08a4;Massachusetts Cordoba
98d514dc-aa63-42fc-8fc6-882c797d0918;Savings Cheese non-volatile
