intevention_id;partner_id;disaster_id;project_id;hazard_id;amount_received;assistance_offered
5482b53a-f729-4def-96a4-897e332d9b76;Analyst Denmark;distributed Shoes;Macedonia Music program;Sharable Chair Supervisor;11525;Visionary District
e62352f6-e5ec-4fb3-a7aa-0b9315bdca86;intranet Customer-focused;recontextualize Frozen;Unbranded Vista;Granite Bedfordshire Plastic;45689;Decentralized
433daf93-88f1-4385-90d5-b060e8923477;North Kiribati navigating;viral calculate;Mobility synthesize;Rubber compressing Dalasi;24838;Gloves RSS
5cd87eff-0d5b-43c5-90b5-f3aec45cf987;Chief;Ergonomic;copying;Bedfordshire recontextualize Personal;61289;Concrete Frozen
7a67524c-8656-48b8-ad6f-c37cdf9134d9;Direct Avon Integration;target Checking Robust;Books;strategic national red;6470;complexity
c69b28cd-8218-440d-b80c-82d8819df554;Netherlands Human;Ridges Pants Australia;Hawaii;technologies local;97891;invoice Pants Response
bf1defcb-55dd-49de-9c08-f48eda22a0dd;Granite;syndicate;Martin Fundamental niches;morph;67889;Programmable ADP
607d17d9-3b0a-42c0-8a93-6259c37f73d1;Intelligent turquoise Group;Quality Corners;Seamless Future incubate;contextually-based Directives cultivate;66819;Harbor Chad Plastic
e3ba860a-7104-4589-96a2-37949f274968;Avon AGP;Franc;Berkshire microchip;Open-source Corporate Books;76244;microchip
7dd994ff-4ed1-4f27-873d-02675b04469d;Borders AI;Functionality brand XML;Leu Junctions Beauty;bus solutions;71769;Idaho
