project_id;name;description;value;project_manager;location_id
d4399000-3db6-481d-b7f8-93070fba9560;Account Total;system benchmark European;47087;Assistant Bike;Guadeloupe digital
ea867051-6514-4d1c-b08b-64337af1cd52;Corners Buckinghamshire Keyboard;Oklahoma;79826;navigating Intelligent;Specialist Euro Assurance
4d66eb9c-3ee0-4c24-836c-92c235cdb3cb;port Computer;Central Mouse;97468;Optimization Nakfa;empowering auxiliary payment
ba7f25ac-ad78-475f-b7e2-15c33bf7d2bd;Liaison Ball Cross-group;Program Cote;8672;Turnpike South;teal e-services
aeae6c49-f7c2-4abd-938b-74df246d578c;withdrawal channels definition;Sleek;42711;Handmade bypassing;Borders
51b1a251-f763-4a56-8733-8048b2ede2fa;Organized violet Fresh;Account programming B2C;65212;bottom-line drive;Wisconsin (customarily
7b359f8b-ff16-4659-ab03-694292457d42;logistical innovative;purple;50491;zero;Sri Buckinghamshire mint
7e4ea1fa-a664-4014-bb91-3f4ff567d5eb;Jewelery Pike Landing;Forward Supervisor;96754;Islands hacking Licensed;purple
968cdcd7-c778-41e8-ac08-db3426379ce5;New driver synthesize;Sweden Awesome;45405;Account Checking;magenta Executive
2670d41e-1316-481c-8710-535899c5af4b;parsing Via York;Cotton Pizza synthesize;37312;synthesize Infrastructure;Incredible Carolina Fresh
