response_team_id;disaster_id;name;team_lead
acd0b6ef-2044-4857-97db-444eda4fb18e;ROI;Security;Technician Niue capacitor
6d33578c-94a0-4ae1-899e-d6789dd00e6e;Orchard Ridges;Metal Ergonomic;1080p heuristic
e487564f-0f4f-427e-a892-015bbe759889;hour Borders;invoice Executive;synergy
e334f800-61fd-4385-9f21-234d0e636753;array;open-source Gorgeous;copying parallelism methodologies
03bd0763-aa2c-4887-b9e0-26e2dec083f2;HDD Web Research;Fresh Guadeloupe Fresh;Mouse Bedfordshire Decentralized
71264b00-72ef-471c-92f8-e40e3c3e6b24;solution Jewelery JSON;Applications Metal connect;Division
2911d716-a2b4-43ab-96f6-97d728f70910;firewall Robust;indexing Salad policy;Solutions Senior Enterprise-wide
458a20fa-d7bc-41a2-9080-e1b6bbb78d0e;Hungary Metal;Chief Executive Sports;Computers Gold Fresh
1f91322c-3265-4903-add2-c0176e00c5bc;Bulgarian Utah;Plastic Officer Implemented;content context-sensitive
4cfdb56b-52fe-4e10-a4ac-35863ccd7777;invoice exploit;Grove Car Quality;Principal extranet pixel
